iter	Passed	Remaining
779	10984	31262
780	10997	31247
781	11011	31230
782	11024	31214
783	11038	31200
784	11051	31182
785	11064	31167
786	11077	31150
787	11091	31136
788	11105	31119
789	11120	31109
790	11135	31096
791	11149	31082
792	11162	31065
793	11176	31050
794	11190	31037
795	11205	31026
796	11218	31010
797	11232	30995
798	11245	30979
799	11261	30968
800	11274	30952
801	11288	30938
802	11302	30923
803	11316	30910
804	11333	30903
805	11348	30892
806	11363	30880
807	11377	30864
808	11390	30849
809	11404	30833
810	11417	30816
811	11430	30801
812	11443	30784
813	11458	30772
814	11472	30756
815	11485	30741
816	11499	30725
817	11512	30708
818	11525	30692
819	11539	30677
820	11554	30665
821	11568	30652
822	11581	30634
823	11596	30622
824	11609	30607
825	11623	30591
826	11637	30579
827	11650	30561
828	11664	30547
829	11679	30534
830	11692	30517
831	11705	30500
832	11718	30484
833	11731	30467
834	11745	30453
835	11759	30440
836	11773	30424
837	11786	30408
838	11800	30395
839	11815	30381
840	11830	30371
841	11845	30359
842	11858	30343
843	11872	30327
844	11884	30309
845	11898	30295
846	11911	30277
847	11924	30260
848	11937	30243
849	11950	30228
850	11963	30212
851	11977	30196
852	11991	30183
853	12004	30166
854	12019	30154
855	12032	30138
856	12046	30124
857	12060	30108
858	12073	30093
859	12089	30082
860	12103	30068
861	12117	30053
862	12131	30041
863	12145	30026
864	12161	30016
865	12175	30002
866	12189	29989
867	12202	29973
868	12216	29958
869	12230	29943
870	12243	29927
871	12257	29913
872	12271	29899
873	12286	29887
874	12299	29871
875	12313	29856
876	12328	29844
877	12343	29831
878	12358	29820
879	12374	29810
880	12389	29799
881	12404	29786
882	12418	29772
883	12430	29755
884	12445	29741
885	12458	29726
886	12472	29711
887	12487	29699
888	12500	29684
889	12515	29670
890	12528	29654
891	12542	29640
892	12557	29629
893	12571	29615
894	12584	29599
895	12598	29585
896	12611	29568
897	12624	29551
898	12637	29534
899	12652	29523
900	12665	29506
901	12678	29489
902	12691	29474
903	12704	29457
904	12717	29440
905	12730	29424
906	12743	29407
907	12756	29391
908	12771	29378
909	12784	29363
910	12797	29346
911	12811	29331
912	12824	29314
913	12839	29303
914	12852	29287
915	12865	29270
916	12879	29255
917	12892	29239
918	12906	29226
919	12920	29211
920	12933	29194
921	12946	29179
922	12960	29163
923	12972	29146
924	12985	29130
925	13000	29117
926	13015	29105
927	13028	29088
928	13040	29071
929	13055	29059
930	13069	29044
931	13082	29029
932	13096	29013
933	13109	28997
934	13122	28981
935	13134	28963
936	13147	28946
937	13169	28951
938	13192	28955
939	13208	28945
940	13221	28929
941	13235	28914
942	13248	28900
943	13263	28886
944	13277	28874
945	13291	28858
946	13304	28842
947	13319	28829
948	13334	28818
949	13349	28806
950	13363	28792
951	13379	28782
952	13392	28766
953	13405	28750
954	13418	28734
955	13433	28721
956	13446	28705
957	13459	28690
958	13473	28675
959	13487	28660
960	13500	28645
961	13516	28633
962	13531	28622
963	13544	28607
964	13558	28592
965	13572	28577
966	13586	28563
967	13599	28548
968	13614	28535
969	13627	28519
970	13641	28505
971	13655	28490
972	13668	28475
973	13683	28463
974	13698	28449
975	13712	28436
976	13726	28422
977	13740	28408
978	13754	28393
979	13770	28383
980	13784	28370
981	13798	28356
982	13813	28343
983	13827	28328
984	13840	28313
985	13855	28301
986	13871	28290
987	13887	28280
988	13900	28265
989	13914	28250
990	13927	28234
991	13940	28218
992	13954	28203
993	13968	28189
994	13982	28176
995	13997	28163
996	14010	28148
997	14024	28132
998	14037	28118
999	14051	28103
1000	14065	28088
1001	14079	28075
1002	14093	28060
1003	14104	28040
1004	14118	28027
1005	14132	28012
1006	14147	27999
1007	14162	27987
1008	14176	27973
1009	14190	27959
1010	14206	27948
1011	14219	27932
1012	14233	27918
